year,qdistance,qtime,avg_delay
1994,16,13,-1.7500000000000000
1994,16,14,4.8315789473684211
1994,16,15,1.5536723163841808
1994,16,16,6.2337325450824964
1994,16,17,4.4529411764705882
1994,16,18,12.2258064516129032
1994,16,20,
1994,17,8,
1994,17,12,
1994,17,14,0.28571428571428571429
1994,17,15,1.0515463917525773
1994,17,16,0.56497175141242937853
1994,17,17,6.9227380947711521
1994,17,18,4.9457831325301205
1994,17,19,7.8750000000000000
1994,17,20,
1994,18,6,
1994,18,11,
1994,18,12,
1994,18,15,-11.0000000000000000
1994,18,16,-1.0638297872340426
1994,18,17,0.88700564971751412429
1994,18,18,6.7444229645634247
1994,18,19,7.3125000000000000
1994,19,5,
1994,19,17,14.1538461538461538
1994,19,18,-0.77040816326530612245
1994,19,19,5.7471368600442467
1994,19,20,10.0096153846153846
1994,20,9,
1994,20,18,-5.0000000000000000
1994,20,19,0.41958041958041958042
1994,20,20,5.5592240071326899
1987,1,1,7.7272774937737580
1987,2,2,6.9395563690242733
1987,3,3,6.8145660259306893
1987,4,4,7.1078943480188081
1987,5,5,7.2809879329802934
1987,6,6,8.9739678789510714
1987,7,7,7.0530914914357332
1987,8,8,9.5459006249073969
1987,9,9,11.8381755755790648
1987,10,10,8.8772342753912696
1987,11,11,9.4040582075815722
1987,12,12,8.1050516647531573
1987,13,13,8.6330366919854692
1987,14,14,9.1493567017134296
1987,15,15,7.8101463977751736
1987,16,16,8.8621485119099631
1987,17,17,10.0790041970707581
1987,18,18,9.7427177288185716
1987,19,19,11.2095356392126887
1987,20,20,10.8427443573026470
1989,1,1,6.9764114134148462
1989,2,2,8.1014077998516399
1989,3,3,7.6251946843585024
1989,4,4,7.3607387584640960
1989,5,5,7.6063796753705011
1989,6,6,9.4732368025842283
1989,7,7,7.3375504992528326
1989,8,8,8.3628015677283681
1989,9,9,7.7514544749345486
1989,10,10,8.5903875630401637
1989,11,11,8.3929273876313923
1989,12,12,8.1804374338720490
1989,13,13,8.7386879428324300
1989,14,14,9.0976569602301423
1989,15,15,9.2313652301775817
1989,16,16,9.0760945366887972
1989,17,17,9.2532990670770024
1989,18,18,8.6031883590632432
1989,19,19,8.8189626001063504
1989,20,20,9.5980614725724130
1991,1,1,3.2456935194672131
1991,2,2,3.3346497054118848
1991,3,3,3.4024366891665470
1991,4,4,4.2516722441376725
1991,5,5,4.9358336756547645
1991,6,6,3.8513268482025082
1991,7,7,4.8918724870763929
1991,8,8,5.3992727475264266
1991,9,9,4.2969706382487286
1991,10,10,4.9377593856315779
1991,11,11,4.2492447370094766
1991,12,12,5.3391213655616063
1991,13,13,5.2128252714079762
1991,14,14,5.4290068225030757
1991,15,15,5.4262020445601092
1991,16,16,4.9890996467330766
1991,17,17,4.5087680972335313
1991,18,18,5.7347928777624914
1991,19,19,5.5782798003417932
1991,20,20,5.6060113922690200
1990,1,1,5.0761619364318305
